["2023-12-26T20", "Australia", "Baby"]	37507092.75928125
["2023-12-26T20", "Australia", "Beauty & Personal Car"]	37507429.66715513
["2023-12-26T20", "Australia", "Clothing, Shoes & Jewelry"]	37505669.50929021
["2023-12-26T20", "Australia", "Electronics"]	37507901.240210295
["2023-12-26T20", "Australia", "Health, Household & Baby Care"]	37507723.693394884
["2023-12-26T20", "Australia", "Home & Kitchen"]	37506749.883878775
["2023-12-26T20", "Australia", "Office Supplies"]	37507907.86400904
["2023-12-26T20", "Australia", "Pet Supplies"]	37505637.796687685
["2023-12-26T20", "Australia", "Sports & outdoors"]	37506709.31300333
["2023-12-26T20", "Australia", "Toys & games"]	37507649.93278636
["2023-12-26T20", "China", "Baby"]	37893970.16470005
["2023-12-26T20", "China", "Beauty & Personal Car"]	37892077.30328083
["2023-12-26T20", "China", "Clothing, Shoes & Jewelry"]	37894216.176315576
["2023-12-26T20", "China", "Electronics"]	37891278.50465605
["2023-12-26T20", "China", "Health, Household & Baby Care"]	37894362.56818421
["2023-12-26T20", "China", "Home & Kitchen"]	37892278.76305919
["2023-12-26T20", "China", "Office Supplies"]	37894277.611223996
["2023-12-26T20", "China", "Pet Supplies"]	37892856.60417415
["2023-12-26T20", "China", "Sports & outdoors"]	37894470.43143508
["2023-12-26T20", "China", "Toys & games"]	37893027.00169788
["2023-12-26T20", "France", "Baby"]	37780472.66612848
["2023-12-26T20", "France", "Beauty & Personal Car"]	37782289.52452729
["2023-12-26T20", "France", "Clothing, Shoes & Jewelry"]	37782512.19574174
["2023-12-26T20", "France", "Electronics"]	37781652.20992985
["2023-12-26T20", "France", "Health, Household & Baby Care"]	37779225.642738946
["2023-12-26T20", "France", "Home & Kitchen"]	37781223.570892125
["2023-12-26T20", "France", "Office Supplies"]	37779191.28403773
["2023-12-26T20", "France", "Pet Supplies"]	37779871.40694329
["2023-12-26T20", "France", "Sports & outdoors"]	37778445.204582684
["2023-12-26T20", "France", "Toys & games"]	37783843.90809015
["2023-12-26T20", "Georgia", "Baby"]	37690820.42997853
["2023-12-26T20", "Georgia", "Beauty & Personal Car"]	37691101.42488825
["2023-12-26T20", "Georgia", "Clothing, Shoes & Jewelry"]	37689838.55758305
["2023-12-26T20", "Georgia", "Electronics"]	37687652.15558054
["2023-12-26T20", "Georgia", "Health, Household & Baby Care"]	37687158.302643955
["2023-12-26T20", "Georgia", "Home & Kitchen"]	37688078.40661092
["2023-12-26T20", "Georgia", "Office Supplies"]	37688538.54283295
["2023-12-26T20", "Georgia", "Pet Supplies"]	37691473.62633941
["2023-12-26T20", "Georgia", "Sports & outdoors"]	37689473.991172016
["2023-12-26T20", "Georgia", "Toys & games"]	37689136.7399978
["2023-12-26T20", "Germany", "Baby"]	37475361.070187405
["2023-12-26T20", "Germany", "Beauty & Personal Car"]	37475116.57330947
["2023-12-26T20", "Germany", "Clothing, Shoes & Jewelry"]	37477433.95216718
["2023-12-26T20", "Germany", "Electronics"]	37474801.9428906
["2023-12-26T20", "Germany", "Health, Household & Baby Care"]	37478035.687682755
["2023-12-26T20", "Germany", "Home & Kitchen"]	37478123.12497574
["2023-12-26T20", "Germany", "Office Supplies"]	37477994.11541767
["2023-12-26T20", "Germany", "Pet Supplies"]	37479850.11843124
["2023-12-26T20", "Germany", "Sports & outdoors"]	37480359.29796451
["2023-12-26T20", "Germany", "Toys & games"]	37478385.380745895
["2023-12-26T20", "Hungary", "Baby"]	38044101.26362146
["2023-12-26T20", "Hungary", "Beauty & Personal Car"]	38045594.043780826
["2023-12-26T20", "Hungary", "Clothing, Shoes & Jewelry"]	38044673.37264292
["2023-12-26T20", "Hungary", "Electronics"]	38046507.52875526
["2023-12-26T20", "Hungary", "Health, Household & Baby Care"]	38043192.87833479
["2023-12-26T20", "Hungary", "Home & Kitchen"]	38046257.74979922
["2023-12-26T20", "Hungary", "Office Supplies"]	38046928.22669961
["2023-12-26T20", "Hungary", "Pet Supplies"]	38046208.39703906
["2023-12-26T20", "Hungary", "Sports & outdoors"]	38043604.82660031
["2023-12-26T20", "Hungary", "Toys & games"]	38045103.0173555
["2023-12-26T20", "India", "Baby"]	38114040.92291075
["2023-12-26T20", "India", "Beauty & Personal Car"]	38119629.77506658
["2023-12-26T20", "India", "Clothing, Shoes & Jewelry"]	38117796.942339204
["2023-12-26T20", "India", "Electronics"]	38118633.25695189
["2023-12-26T20", "India", "Health, Household & Baby Care"]	38116345.01933622
["2023-12-26T20", "India", "Home & Kitchen"]	38114833.500975
["2023-12-26T20", "India", "Office Supplies"]	38118637.6159557
["2023-12-26T20", "India", "Pet Supplies"]	38119342.430136144
["2023-12-26T20", "India", "Sports & outdoors"]	38115959.060715124
["2023-12-26T20", "India", "Toys & games"]	38116620.86953338
["2023-12-26T20", "Israel", "Baby"]	38073115.68519423
["2023-12-26T20", "Israel", "Beauty & Personal Car"]	38075218.1299909
["2023-12-26T20", "Israel", "Clothing, Shoes & Jewelry"]	38071858.34281721
["2023-12-26T20", "Israel", "Electronics"]	38074608.424849965
["2023-12-26T20", "Israel", "Health, Household & Baby Care"]	38075193.03486531
["2023-12-26T20", "Israel", "Home & Kitchen"]	38075880.19960092
["2023-12-26T20", "Israel", "Office Supplies"]	38075770.89053825
["2023-12-26T20", "Israel", "Pet Supplies"]	38076873.31402633
["2023-12-26T20", "Israel", "Sports & outdoors"]	38074907.582961455
["2023-12-26T20", "Israel", "Toys & games"]	38074807.94183105
["2023-12-26T20", "Japan", "Baby"]	37466777.08162708
["2023-12-26T20", "Japan", "Beauty & Personal Car"]	37468679.743337035
